Child Level,Event Name,CPU Start (ns),GPU Start (ns),GPU Duration (ns),Process Name,Thread ID,CPU Core,GPU Engine,
0,"GPU Work",0,1520135600,28800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1520176000,28400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1520216400,29500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1520258600,28900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1520299800,29200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1520340700,29900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1520381800,28400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1520421600,28800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1520461800,28500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1520502100,28500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1520542300,39700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1520584800,28400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1520621800,34000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1520661600,28500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1520701000,29400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1520742100,29500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1520783900,29300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1520824900,28900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1520865300,29200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1520905700,32400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1520945700,28900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1521000900,29800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1521041000,28600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1521081400,29400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1521121900,28700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1521169100,29100,final_project2.exe,,,Cuda,
0,"GPU Work",0,1521202200,31000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1521241200,29800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1521282200,28700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1521322300,28500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1521362600,29200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1521403100,28700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1521443400,28800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1521483700,35100,final_project2.exe,,,Cuda,
0,"GPU Work",0,1521523700,29300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1521563100,29100,final_project2.exe,,,Cuda,
0,"GPU Work",0,1521602100,28800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1521642400,28900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1521682900,29200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1521723400,29900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1521764800,24400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1521805900,26200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1521844300,24700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1521884400,31700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1521925000,29300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1521973800,28700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1522017300,31800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1522055500,29800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1522094500,27900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1522134600,27400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1522174300,27800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1522214100,27900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1522254300,40800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1522299700,42000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1522345700,40000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1522401300,34300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1522441000,28700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1522480500,28100,final_project2.exe,,,Cuda,
0,"GPU Work",0,1522523000,26700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1522561900,25600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1522604100,30500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1522642900,36800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1522698700,33900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1522740600,35500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1522804900,30400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1522850800,24500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1522900700,24200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1522937700,24500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1522996400,24800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1523037000,24700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1523077400,24600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1523117800,24700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1523157700,24200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1523197700,24600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1523238200,24300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1523279500,24900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1523319800,24900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1523360000,31600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1523400800,35600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1523441100,28400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1523480600,30800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1523521100,30200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1523560500,30400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1523598500,31700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1523639000,31200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1523678100,28500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1523716900,32300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1523758400,33900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1523798000,40800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1523843000,34900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1523881300,32400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1523921600,32700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1523969200,47900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1524020500,31900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1524058500,33200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1524097700,33100,final_project2.exe,,,Cuda,
0,"GPU Work",0,1524136900,33200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1524176300,33200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1524215500,34300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1524255900,37100,final_project2.exe,,,Cuda,
0,"GPU Work",0,1524296300,32200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1524335900,32200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1524374300,35900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1524413200,30800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1524453400,29300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1524492800,31800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1524531900,29400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1524570400,29200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1524609100,32600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1524649900,30900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1524688700,31800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1524727000,32300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1524768600,31200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1524807900,30200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1524847200,29900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1524886400,31000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1524925400,28800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1524977000,30100,final_project2.exe,,,Cuda,
0,"GPU Work",0,1525017200,27600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1525057800,33300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1525097400,32400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1525137800,32300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1525177900,33000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1525216600,31400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1525257400,31900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1525295300,31700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1525335300,32500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1525374300,32600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1525413300,47100,final_project2.exe,,,Cuda,
0,"GPU Work",0,1525463700,30600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1525502300,28700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1525540800,28500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1525581800,27200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1525622300,32300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1525662700,33600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1525702100,37100,final_project2.exe,,,Cuda,
0,"GPU Work",0,1525745000,34500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1525784200,33700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1525822500,30500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1525861700,34500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1525899700,33600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1525939200,33500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1525994500,36800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1526034600,28400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1526075200,31800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1526116400,27500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1526156800,28100,final_project2.exe,,,Cuda,
0,"GPU Work",0,1526198400,33300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1526240100,32600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1526278700,30800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1526318600,32600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1526358400,32900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1526397600,33800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1526549500,40700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1526595900,40100,final_project2.exe,,,Cuda,
0,"GPU Work",0,1526641100,30000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1526680200,36100,final_project2.exe,,,Cuda,
0,"GPU Work",0,1526724800,28500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1526763100,32600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1526803100,32000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1526841000,31700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1526880900,35100,final_project2.exe,,,Cuda,
0,"GPU Work",0,1526919400,28800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1526966000,34700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1527005500,31600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1527044500,33000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1527084100,32400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1527122800,31600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1527162400,30700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1527201700,29600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1527241800,28400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1527284800,27300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1527325100,30500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1527365600,32200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1527405300,32700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1527443500,30200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1527482700,32100,final_project2.exe,,,Cuda,
0,"GPU Work",0,1527522800,31700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1527569300,32700,final_project2.exe,,,Cuda,
