Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"[vcsAPIFORWBF.dll]",1,0,0.01,0.00,
"[windows.storage.dll]",2,0,0.02,0.00,
"[WindowsCodecs.dll]",1,0,0.01,0.00,
"[wininet.dll]",4,0,0.03,0.00,
"[winmmbase.dll]",1,0,0.01,0.00,
"[wintrust.dll]",19,0,0.14,0.00,
"[wow64.dll]",3,0,0.02,0.00,
"[wow64cpu.dll]",3,0,0.02,0.00,
"__scrt_common_main_seh","10,527",0,79.74,0.00,
"__sse2_pow2",4,0,0.03,0.00,
"`anonymous namespace'::etiGetApiFunctionDescriptorTable",8,0,0.06,0.00,
"arma::eop_core<arma::eop_pow>::apply<arma::Mat<int>,arma::Mat<int> >",4,0,0.03,0.00,
"arma::gemv_emul<0,0,0>::apply<int,arma::Mat<int> >",1,0,0.01,0.00,
"arma::glue_times::apply<int,0,0,0,arma::Mat<int>,arma::Col<int> >",1,0,0.01,0.00,
"cudaDeviceReset",22,0,0.17,0.00,
"cudaDeviceSynchronize","9,944",0,75.33,0.00,
"cudaFree",1,0,0.01,0.00,
"cudaMalloc",75,0,0.57,0.00,
"cudart::__loadDriverInternalUtil",34,0,0.26,0.00,
"cudart::contextState::applyChanges",2,0,0.02,0.00,
"cudart::contextState::loadCubin",2,0,0.02,0.00,
"cudart::contextStateManager::getRuntimeContextState",73,0,0.55,0.00,
"cudart::contextStateManager::initDriverContext",71,0,0.54,0.00,
"cudart::contextStateManager::initPrimaryContext",71,0,0.54,0.00,
"cudart::contextStateManager::initRuntimeContextState_nonreentrant",2,0,0.02,0.00,
"cudart::cudaApiDeviceReset",22,0,0.17,0.00,
"cudart::cudaApiDeviceSynchronize","9,944",0,75.33,0.00,
"cudart::cudaApiFree",1,0,0.01,0.00,
"cudart::cudaApiMalloc",75,0,0.57,0.00,
"cudart::cudaApiMemcpy",440,0,3.33,0.00,
"cudart::cuosOnce",34,0,0.26,0.00,
"cudart::device::resetPrimaryContext",22,0,0.17,0.00,
"cudart::driverHelper::mallocPtr",2,0,0.02,0.00,
"cudart::globalModule::loadIntoContext",2,0,0.02,0.00,
"cudart::globalState::initializeDriver",34,0,0.26,0.00,
"cudart::globalState::loadDriver",34,0,0.26,0.00,
"cudart::globalState::loadDriverInternal",34,0,0.26,0.00,
"cudaSetDevice",34,0,0.26,0.00,
"derivatives::cuda_cap_floor","1,673",0,12.67,0.00,
"derivatives::cuda_swaption","8,853",0,67.06,0.00,
"main","10,526",0,79.74,0.00,
"nvDetectDisplayDriverModuleLocationW",7,0,0.05,0.00,
"nvDetectDisplayDriverModuleRegistrationW",7,0,0.05,0.00,
"nvGetDriverRegkeyW",5,0,0.04,0.00,
"nvLoadLibraryFromTrustedLocationExW",5,0,0.04,0.00,
"nvLoadSystemLibraryExA",13,0,0.10,0.00,
"nvLoadSystemLibraryExW",13,0,0.10,0.00,
"rand_tools::rand01_skip_ahead",9,0,0.07,0.00,
